epoch,train_loss,val_loss,dice_coef
1,0.6986068853310177,0.6347622383724559,0.1465012528769685
2,0.4311071276664734,0.21089948442849246,0.2488926956259846
3,0.23191497730357305,0.14263322475281628,0.48539134502074427
4,0.1884388674582754,0.1080257102395549,0.5579078914007002
5,0.1639715357550553,0.10965803197839043,0.6206894101085106
6,0.1510116892733744,0.10020595235806523,0.6763559291529809
7,0.14392019135079215,0.09285143446741682,0.712591882974873
8,0.1368091146860804,0.09484793765075279,0.6475083626222987
9,0.12856366450765302,0.08410930102973273,0.7214539773879649
10,0.12249332485454423,0.079562849844947,0.7160632039558106
11,0.11758353162024703,0.0885897445859331,0.7173295084555329
12,0.11040666638208287,0.08168113141348868,0.7119811298640798
13,0.11172149074929101,0.081746726325064,0.7325448552806072
14,0.10688125431271536,0.08675168601400925,0.7084493592211766
15,0.10533826609275171,0.07972938533533704,0.7381649242215131
16,0.10355944476489509,0.08296254661047098,0.7271896964182798
17,0.10589285459635513,0.0800241833609162,0.7243327203540211
18,0.10080650092235634,0.07714866045297998,0.705158373915438
19,0.09156897717288562,0.0869113513917634,0.7167742462257649
20,0.09583647189927953,0.08410213707071362,0.7605073367911418
21,0.09251940314258848,0.08387194991563306,0.7570692132136156
22,0.08810152281075716,0.08275581839861292,0.7168932949699434
23,0.09169225413352251,0.08436956267916795,0.7239058216007351
24,0.08648791311840925,0.08782446000612143,0.7506450583073024
25,0.08930358971868242,0.08115070290637738,0.7422313193531788
26,0.08230619133849229,0.08448738514473944,0.7348433743025343
27,0.08278723670435803,0.08744098381562666,0.747673605901785
28,0.08184983778212751,0.08123998479409651,0.7475392544157268
29,0.08149660059383937,0.0818732755653786,0.7220812914099831
30,0.07886587099305221,0.08671233972365205,0.7337185824048168
31,0.08087624503033501,0.0838902507993308,0.7513144111351433
32,0.07458333822765521,0.08602305761340892,0.7258593547127125
33,0.07430225049278566,0.08689039990757451,0.7543976646529083
34,0.070926935265639,0.0858291219355482,0.7269679799690265
35,0.07058022207181369,0.0836393880573186,0.7516517439706714
36,0.06887632323695081,0.08345599325768875,0.7608685789281241
37,0.06555055833554693,0.086925624559323,0.7717200102271237
38,0.0677238809876144,0.08660146503737479,0.7610524458345898
39,0.06745184109812337,0.08343225898164691,0.7614543553947162
40,0.06597720946052245,0.08772255310958083,0.7741779587971399
41,0.06364076491445303,0.08863171765750105,0.7739050272316872
42,0.06173462645549859,0.08899531039324673,0.7717990294496457
43,0.06435647825045245,0.08974257438923373,0.7619379312753347
44,0.06198169067502022,0.09336370850602786,0.763818712093139
45,0.06316840276122093,0.09141233111872818,0.7713255204730292
46,0.06246935533625739,0.09327357239795453,0.7657300444115711
47,0.06361398976296187,0.09330717158136946,0.7631514331086455
48,0.06145761821951185,0.09236301459146268,0.7631800428434807
49,0.06348461342443312,0.09209648847128406,0.7633901761237931
50,0.060714150672512394,0.09346367520364848,0.7625845284223394
1,0.5414823646382462,0.29508728172097887,0.21520220066236373
2,0.22633208082519846,0.17261218215738025,0.5920956601263688
3,0.17759183928263272,0.19226401448249816,0.652075828806769
4,0.1585882151191183,0.1337294014436858,0.683348789486514
5,0.1412351347452445,0.12752053003226008,0.7299948753354109
6,0.127830725190022,0.1279520664896284,0.7581642484296857
7,0.12275890574502431,0.11381468570658139,0.7423317546702067
8,0.11286981511030265,0.10171879827976227,0.7710782477442918
9,0.10908421857965936,0.10781630926898547,0.7895922691276872
10,0.10470398314458003,0.10262475843940462,0.7918142417967329
11,0.09765320882308397,0.1066994030560766,0.7864387437293027
12,0.09704205423271914,0.1158610427486045,0.7934850599123886
13,0.09445868806390882,0.10806606896221638,0.787169148026898
14,0.0894374475687099,0.10296312559928213,0.807532062046424
15,0.081376251248683,0.10248389254723277,0.7967756676296815
16,0.08259707469519952,0.10334001438958304,0.8090852068813059
17,0.07899027010894936,0.10459204097943646,0.809081765983621
18,0.07720626211262864,0.10505348571709223,0.8037155763652828
19,0.07632645199463951,0.10665726704256875,0.8073187202569594
20,0.07694986261588206,0.10655260533094406,0.8097561604224561
